FOLIO,NOMBRE COMERCIAL,Directorio,REPRESENTANTE LEGAL,DOMICILIO,MUNICIPIO,NOMBRE(S),ENTREGA,VIGENCIA,Acerca,QUEJAS Y DENUNCIAS,FOTO
SDE/COL-REA/014,INMUEBLES OR,,,"NAUTILUS 202, COL. LA JOYA, MANZANILLO, COLIMA",MANZANILLO,SDE/COL-REA/014 - JESÚS ARMANDO OROZCO ARROYO ,20/03/2024,08/03/2027,,Para este Agente Inmobiliario no se han presentado quejas ni denuncias,https://admiweb.col.gob.mx/archivos_prensa/banco_img/file_66f582ab13b36_014_INMUEBLES_OR_1.jpg
SDE/COL/REAI/015,RUBRICA INMOBILIARIA,,,"AV. CONSTITUCIÓN 1852, INT. 3, LOMAS VERDES, COLIMA",COLIMA,SDE/COL/REAI/015-028 - TERESA ESPINOSA MADRIGAL,14/06/2024,17/06/2027,,Para este Agente Inmobiliario no se han presentado quejas ni denuncias,https://admiweb.col.gob.mx/archivos_prensa/banco_img/file_677d5831bbc5d_015_RUBRICA_INMOBILIARIA.png
SDE/COL/REAI/016,"INMOBILIARIA, AVALUOS Y ARQUITECTURA",,,"AV. REAL BUGAMBILIAS 12, COL. BUGAMBILIAS, VILLA DE ALVAREZ, COLIMA",COLIMA,SDE/COL/REAI/016-029 - MILTÓN DE ALVA GUTIÉRREZ,14/06/2024,17/06/2027,,Para este Agente Inmobiliario no se han presentado quejas ni denuncias,https://admiweb.col.gob.mx/archivos_prensa/banco_img/file_677d583409f02_016_INMOBILIARIA_AVALUOS_Y_ARQUITECTURA.jpg
SDE/COL/REAI/017,SIMEN SERVICIOS INMOBILIARIOS,,,"AV. VENUSTIANO CARRANZA 1655, RESIDENCIAL ESMERALDA, COLIMA",COLIMA,SDE/COL/REAI/017-030 - MARISELA MARTHA MENDOZA REYES,14/06/2024,17/06/2027,,Para este Agente Inmobiliario no se han presentado quejas ni denuncias,https://admiweb.col.gob.mx/archivos_prensa/banco_img/file_677d58364b4c7_017_SIMEN_SERVICIOS_INMOBILIARIOS.jpg
SDE/COL/REAI/018,VYVE INMOBILIARIA,,,"CALLE HELIODORO SILVA 55, EL TRAPICHE, CUAUHTEMOC, COLIMA",COLIMA,SDE/COL/REAI/018-031 - VERÓNICA ORALIA MEDINA FLORES,14/06/2024,17/06/2027,,Para este Agente Inmobiliario no se han presentado quejas ni denuncias,https://admiweb.col.gob.mx/archivos_prensa/banco_img/file_677d58388d4aa_018_VYVE_INMOBILIARIA.png
SDE/COL/REAI/019,INNOVACIÓN INMOBILIARIA,,SALVADOR VALLADARES ANGUIANO,"DR. ATL 31, COL. LOMAS VERDES, COLIMA",COLIMA,"SDE/COL/REAI/019-032 - SALVADOR VALLADARES ANGUINANO SDE/COL/REAI/019-033 -  SANDRA MARISOL GONZÁLEZ TAPIA",24/06/2024,24/06/2027,,Para este Agente Inmobiliario no se han presentado quejas ni denuncias,https://admiweb.col.gob.mx/archivos_prensa/banco_img/file_677d583acf5f9_019_INNOVACIN_INMOBILIARIA.png
SDE/COL/REAI/020,SIN NOMBRE COMERCIAL Y SIN LOGO,,,"GRANITO 350, FRAC. LA CANTERA, COLIMA",COLIMA,"SDE/COL/REAI/020-034 - JOSE EDUARDO SCHULTE  DE LA MADRID SDE/COL/REAI/020-035 -  SERGIO ARNOLDO SCHULTE DE LA MADRID",24/06/2024,24/06/2027,,Para este Agente Inmobiliario no se han presentado quejas ni denuncias,https://admiweb.col.gob.mx/archivos_prensa/banco_img/file_677d5dd35f29d_Logotipo_tipografico_rectangular_minimalista_blanco_y_negro.png
SDE/COL/REAI/021,BIENES RAICES Y GESTORIA URBANA,,,"PASEO DE GILBERTO 14 JARDINES DE BUGAMBILIAS, VILLA DE ÁLVAREZ, COLIMA",COLIMA,SDE/COL/REAI/021-036 -  RICARDO CEBALLOS CATANEO,24/06/2024,24/06/2027,,Para este Agente Inmobiliario no se han presentado quejas ni denuncias,https://admiweb.col.gob.mx/archivos_prensa/banco_img/file_677d583d28756_021_BIENES_RAICES_Y_GESTORIA_URBANA_1.jpg
SDE/COL/REAI/022,SIN NOMBRE COMERCIAL Y SIN LOGO,,,"RIO SALADO 483, COL. PLASCETAS ESTADIO, COLIMA",COLIMA,SDE/COL/REAI/022-037 - ALIXE JACQUELINE GARCÍA RODRÍGUEZ,24/06/2024,24/06/2027,,Para este Agente Inmobiliario no se han presentado quejas ni denuncias,https://admiweb.col.gob.mx/archivos_prensa/banco_img/file_677d5dd35f29d_Logotipo_tipografico_rectangular_minimalista_blanco_y_negro.png
SDE/COL/REAI/023,NM INMOBILIARIA,,,"GRECIA 1804, COL. LAS MARGARITAS, COLIMA",COLIMA,SDE/COL/REAI/023-038 - MARÍA XÓCHITL OLIMPIA DE LA MORA ÁVILA,24/06/2024,24/06/2027,,Para este Agente Inmobiliario no se han presentado quejas ni denuncias,http://admiweb.col.gob.mx/archivos_prensa/banco_img/file_677d583f6acb4_023_NM_INMOBILIARIA.jpeg
